id,name,description,iconSrc,priority,whyMatters
high-pressure-gas-spring,High Pressure Gas Spring,"A gas-filled cylinder that provides controlled force and damping, often used in blade pitch systems or mechanical braking.",icon_grid_high_pressure_gas_spring.svg,1,Materials — keeps a pressure-rated steel cylinder and polished rod in use where safe requalification is possible.
high-tensil-bolts,High tensil bolts,"Extremely strong fasteners made from high-strength steel alloys, capable of withstanding enormous forces in critical structural connections.",icon_grid_high_tensil_bolts.svg,2,Materials — retains high-strength alloy steel and the energy-intensive heat treatment embedded in critical fasteners.
inductive-proximity-switch,Inductive Proximity Switch,"A non-contact sensor that detects metal objects nearby using electromagnetic fields, used for position sensing and safety monitoring.",icon_grid_inductive_proximity_switch.svg,2,"Waste avoided — keeps small sensor electronics, copper coils and ferrite material out of e-waste."
inductive-sensor,Inductive Sensor,"A sensor that detects metal objects without physical contact, commonly used for position monitoring and safety systems.",icon_grid_inductive_sensor.svg,2,Waste avoided — avoids disposal of a small but material-diverse electronics device.
interface-relay,Interface Relay,"An electrical switch that isolates and controls circuits, allowing low-voltage control signals to safely operate high-power equipment.",icon_grid_interface_relay.svg,2,"Waste avoided — recovers or reuses contact metals, copper coil and plastic enclosure instead of creating mixed e-waste."
main-i-beam,Main I-Beam,"A large structural steel beam with an I-shaped cross-section, providing crucial structural support in the turbine tower or nacelle frame.",icon_grid_main_i_beam.svg,1,"Materials — keeps a large load-bearing metal member in structural service, which is usually higher value than melting it immediately."
main-switchgear,Main Switchgear,The primary electrical distribution and protection equipment that routes power from the generator and protects against electrical faults.,icon_grid_main_switchgear.svg,1,"Mining pressure — keeps conductor metals and steel enclosures in circulation, while avoiding new grid-equipment material demand."
non-fusibl-disconnect-switch,Non-Fusible Disconnect Switch,"A heavy-duty manual switch for safely disconnecting electrical power, used for maintenance and emergency shutdown.",icon_grid_non_fusible_disconnect_switch.svg,2,Materials — preserves durable switching hardware and conductor metals when tested and reused safely.
nose-cone,Nose Cone,"The aerodynamic cover at the center of the rotor hub where the blades meet, reducing drag and protecting internal components.",icon_grid_nose_cone.svg,1,Waste avoided — keeps a bulky composite shell from becoming hard-to-recycle disposal burden.
power-supply,Power Supply,An electronic device that converts and regulates electrical power to the correct voltage and current for control systems and sensors.,icon_grid_power_supply.svg,2,"Waste avoided — keeps e-waste out of disposal while recovering copper, aluminium and circuit-board materials."
powercable,Powercable,"Heavy-duty electrical cable designed to carry high currents safely, with appropriate insulation and protection for industrial environments.",icon_grid_powercable.svg,2,"Mining pressure — conductor metals are the major value, especially copper and aluminium, and reuse/recycling reduces virgin extraction."
pressure-switch,Pressure Switch,"A sensor that monitors fluid or air pressure and triggers actions when pressure reaches specified thresholds, used for safety and control.",icon_grid_pressure_switch.svg,2,Waste avoided — keeps a mixed metal-and-electrical instrument from becoming small unmanaged industrial waste.
resistor,Resistor,"An electronic component that limits electrical current flow, used in circuits for voltage division, current limiting, and signal conditioning.",icon_grid_resistor.svg,2,"Waste avoided — small components add up; controlled recovery avoids scattering ceramics, metals and polymers through mixed e-waste."
safety-relay,Safety Relay,"A specialized relay designed for safety-critical applications, with redundant contacts and self-monitoring to ensure reliable operation.",icon_grid_safety_relay.svg,2,"Public value — tested units can support safety training rigs, spares programs or educational automation panels while avoiding e-waste."
service-lift,Service Lift,An elevator or lifting platform inside the turbine tower that transports personnel and equipment between the base and nacelle.,icon_grid_service_lift.svg,1,"Public value — can become access, training, maintenance or warehouse utility if certified for the new use case."
spacer,Spacer,"A mechanical component used to maintain precise gaps between parts, ensuring proper alignment and preventing unwanted contact.",icon_grid_spacer.svg,2,Materials — preserves small precision-machined material and avoids remaking simple but tolerance-critical parts.
surge-arrester,Surge Arrester,"A protective device that diverts lightning strikes and electrical surges to ground, protecting sensitive electrical equipment.",icon_grid_surge_arrester.svg,2,"Waste avoided — prevents ceramic, metal and polymer protection devices from becoming mixed electrical waste."
switchgear,Switchgear,"Electrical switching and protection equipment that controls, protects, and isolates electrical circuits in the power distribution system.",icon_grid_switchgear.svg,1,Mining pressure — high-current conductor metals and steel cabinets carry the greatest environmental value.
switching-power-gear,Switching Power Gear,"High-voltage switching equipment that routes electrical power between the generator, transformer, and grid connection.",icon_grid_switching_power_gear.svg,2,Mining pressure — avoids new copper/aluminium/steel demand in grid-scale switching equipment.
torque-shaft,Torque Shaft,A heavy-duty rotating shaft designed to transmit high torque forces between the rotor hub and gearbox or generator.,icon_grid_torque_shaft.svg,1,Materials — preserves a massive forged alloy-steel component and the energy-intensive machining/heat-treatment already embedded in it.
transformer,Transformer,"An electrical device that changes voltage levels, stepping up turbine-generated power to grid voltage or stepping down power for internal systems.",icon_grid_transformer.svg,1,"Mining pressure — keeps copper, aluminium and electrical steel in circulation, all important for grid expansion and electrification."
ultrasone-wind-sensors,Ultrasone Wind Sensors,Advanced wind sensors that use ultrasonic sound waves to precisely measure wind speed and direction without moving parts.,icon_grid_ultrasone_wind_sensors.svg,2,"Public value — can be reused for weather stations, schools, farm monitoring or local climate data projects."
vickers-pressure-control-veil,Vickers Pressure Control Valve,"A hydraulic control valve that regulates fluid pressure in hydraulic systems, maintaining optimal operating conditions.",icon_grid_vickers_pressure_control_veil.svg,2,"Energy — preserves precision hydraulic machining and a durable control function, not just the scrap value of the metal."
wind-vane,Wind Vane,"A traditional directional sensor that shows which way the wind is blowing, helping the turbine optimize its orientation.",icon_grid_wind_vane.svg,2,"Public value — can become a community weather, education or farm-orientation tool with low refurbishment effort."
